,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2023-01-03T00:00:00.000Z,89.7,91.55,89.02,89.83,20738457,89.4788744661,91.3243139061,88.8005507801,89.6085539943,20738457,0.0,1.0
1,2023-01-04T00:00:00.000Z,88.71,91.24,87.8,91.01,27046483,88.491314982,91.015078108,87.5835582846,90.7856450966,27046483,0.0,1.0
2,2023-01-05T00:00:00.000Z,86.77,88.21,86.56,88.07,23136084,86.5560974072,87.9925475658,86.3466150924,87.8528926893,23136084,0.0,1.0
3,2023-01-06T00:00:00.000Z,88.16,88.47,85.57,87.36,26612628,87.9426708242,88.2519066223,85.3590556083,87.1446429583,26612628,0.0,1.0
4,2023-01-09T00:00:00.000Z,88.8,90.83,88.58,89.195,22996681,88.581093117,90.6060888267,88.3616354538,88.9751193758,22996681,0.0,1.0
5,2023-01-10T00:00:00.000Z,89.24,89.475,86.7,86.72,22855590,89.0200084432,89.2544291288,86.4862699689,86.5062206656,22855590,0.0,1.0
6,2023-01-11T00:00:00.000Z,92.26,92.45,89.74,90.06,25998844,92.0325636371,92.2220952552,89.5187758594,89.8379870058,25998844,0.0,1.0
7,2023-01-12T00:00:00.000Z,91.91,92.62,90.57,92.4,22754216,91.6834264457,92.3916761767,90.3467297703,92.1722185136,22754216,0.0,1.0
8,2023-01-13T00:00:00.000Z,92.8,92.98,90.93,91.528,18630709,92.5712324466,92.7507887164,90.70584231,91.3023681397,18630709,0.0,1.0
9,2023-01-17T00:00:00.000Z,92.16,92.97,90.84,92.78,22935823,91.9328101538,92.7408133681,90.6160641751,92.5512817499,22935823,0.0,1.0
10,2023-01-18T00:00:00.000Z,91.78,93.588,91.4,92.94,19641622,91.5537469175,93.3572898945,91.1746836812,92.7108873231,19641622,0.0,1.0
11,2023-01-19T00:00:00.000Z,93.91,94.4,91.38,91.39,28707653,93.6784961105,94.1672881784,91.1547329846,91.1647083329,28707653,0.0,1.0
12,2023-01-20T00:00:00.000Z,99.28,99.42,95.91,95.95,53704763,99.0352581605,99.174913037,95.6735657753,95.7134671686,53704763,0.0,1.0
13,2023-01-23T00:00:00.000Z,101.21,101.4,98.75,99.13,31791782,100.960500387,101.1500320052,98.5065646993,98.8856279356,31791782,0.0,1.0
14,2023-01-24T00:00:00.000Z,99.21,101.09,98.7,99.55,27391372,98.9654307222,100.8407962071,98.4566879577,99.3045925652,27391372,0.0,1.0
15,2023-01-25T00:00:00.000Z,96.73,97.72,95.262,97.2,31000850,96.4915443379,97.479103822,95.0271632039,96.9603857091,31000850,0.0,1.0
16,2023-01-26T00:00:00.000Z,99.16,99.21,96.82,98.28,24542060,98.9155539806,98.9654307222,96.5813224728,98.0377233281,24542060,0.0,1.0
17,2023-01-27T00:00:00.000Z,100.71,101.58,98.97,99.05,29020354,100.4617329708,101.329588275,98.7260223625,98.805825149,29020354,0.0,1.0
18,2023-01-30T00:00:00.000Z,97.95,99.4088,97.52,98.745,24365142,97.7085368334,99.1637406469,97.2795968555,98.5015770252,24365142,0.0,1.0
19,2023-01-31T00:00:00.000Z,99.87,99.91,97.79,97.86,22306778,99.6238037116,99.6637051049,97.5489312602,97.6187586985,22306778,0.0,1.0
20,2023-02-01T00:00:00.000Z,101.43,102.1899,98.42,99.74,26392568,101.1799580502,101.9379847693,98.1773782046,99.4941241834,26392568,0.0,1.0
21,2023-02-02T00:00:00.000Z,108.8,108.82,106.54,106.79,46622627,108.5317897649,108.5517404616,106.2773610437,106.5267447518,46622627,0.0,1.0
22,2023-02-03T00:00:00.000Z,105.22,108.02,103.3,103.51,36823421,104.9606150649,107.7537125957,103.0453481867,103.2548305015,36823421,0.0,1.0
23,2023-02-06T00:00:00.000Z,103.47,104.7,102.21,102.685,25573046,103.2149291082,104.4418969521,101.9580352194,102.4318642648,25573046,0.0,1.0
24,2023-02-07T00:00:00.000Z,108.04,108.67,103.5475,103.63,33738828,107.7736632923,108.4021102367,103.2922380578,103.3745346814,33738828,0.0,1.0
25,2023-02-08T00:00:00.000Z,100.0,103.58,98.455,102.69,73546029,99.7534832398,103.3246579398,98.2122919238,102.436851939,73546029,0.0,1.0
26,2023-02-09T00:00:00.000Z,95.46,100.61,93.86,100.54,97798573,95.2246751007,100.3619794876,93.6286193689,100.2921520493,97798573,0.0,1.0
27,2023-02-10T00:00:00.000Z,94.86,97.02,94.53,95.74,49325275,94.6261542013,96.7808294393,94.2969677066,95.5039848538,49325275,0.0,1.0
28,2023-02-13T00:00:00.000Z,95.0,95.35,94.05,95.01,43116559,94.7658090778,95.1149462692,93.8181509871,94.7757844262,43116559,0.0,1.0
29,2023-02-14T00:00:00.000Z,94.95,95.175,92.65,94.66,42513079,94.7159323362,94.9403776735,92.4216022217,94.4266472348,42513079,0.0,1.0
30,2023-02-15T00:00:00.000Z,97.1,97.34,94.36,94.74,37029885,96.8606322259,97.1000405856,94.1273867851,94.5064500214,37029885,0.0,1.0
31,2023-02-16T00:00:00.000Z,95.78,97.88,94.97,95.54,35642106,95.5438862471,97.6387093951,94.7358830329,95.3044778873,35642106,0.0,1.0
32,2023-02-17T00:00:00.000Z,94.59,95.75,93.45,95.07,31095067,94.3568197966,95.5139602021,93.2196300876,94.8356365161,31095067,0.0,1.0
33,2023-02-21T00:00:00.000Z,92.05,93.4149,92.0,93.24,28367198,91.8230813223,93.184616615,91.7732045806,93.0101477728,28367198,0.0,1.0
34,2023-02-22T00:00:00.000Z,91.8,92.36,90.87,91.934,29891135,91.5736976142,92.1323171203,90.64599022,91.7073672817,29891135,0.0,1.0
35,2023-02-23T00:00:00.000Z,91.07,92.13,90.01,92.13,32423720,90.8454971865,91.9028841089,89.7881102642,91.9028841089,32423720,0.0,1.0
36,2023-02-24T00:00:00.000Z,89.35,90.13,88.86,89.63,31295619,89.1297372748,89.9078144441,88.6409452069,89.4090470279,31295619,0.0,1.0
37,2023-02-27T00:00:00.000Z,90.1,90.4499,89.61,90.09,22724262,89.8778883991,90.2269258369,89.3890963312,89.8679130508,22724262,0.0,1.0
38,2023-02-28T00:00:00.000Z,90.3,91.45,89.52,89.54,30546912,90.0773953656,91.2245604228,89.2993181963,89.3192688929,30546912,0.0,1.0
39,2023-03-01T00:00:00.000Z,90.51,91.2,89.85,90.16,26323876,90.2868776804,90.9751767147,89.628504691,89.937740489,26323876,0.0,1.0
40,2023-03-02T00:00:00.000Z,92.31,92.48,89.77,89.86,23344562,92.0824403787,92.2520213002,89.5487019044,89.6384800393,23344562,0.0,1.0
41,2023-03-03T00:00:00.000Z,94.02,94.11,92.66,92.74,30242538,93.7882249421,93.878003077,92.43157757,92.5113803566,30242538,0.0,1.0
42,2023-03-06T00:00:00.000Z,95.58,96.3,94.3,94.36,28288206,95.3443792806,96.06260436,94.0675346952,94.1273867851,28288206,0.0,1.0
43,2023-03-07T00:00:00.000Z,94.17,96.09,93.8443,95.42,24101536,93.9378551669,95.8531220451,93.612958072,95.1847737074,24101536,0.0,1.0
44,2023-03-08T00:00:00.000Z,94.65,96.24,94.405,94.405,25395200,94.4166718865,96.00275227,94.1722758526,94.1722758526,25395200,0.0,1.0
45,2023-03-09T00:00:00.000Z,92.66,95.92,92.355,94.49,24438890,92.43157757,95.6835411236,92.1273294461,94.2570663133,24438890,0.0,1.0
46,2023-03-10T00:00:00.000Z,91.01,93.18,90.8,92.5,32850092,90.7856450966,92.9502956829,90.5761627818,92.2719719968,32850092,0.0,1.0
47,2023-03-13T00:00:00.000Z,91.66,93.08,89.94,90.565,31508570,91.4340427376,92.8505421996,89.7182828259,90.3417420961,31508570,0.0,1.0
48,2023-03-14T00:00:00.000Z,94.25,94.83,92.78,93.07,32303881,94.0176579535,94.5962281563,92.5512817499,92.8405668513,32303881,0.0,1.0
49,2023-03-15T00:00:00.000Z,96.55,97.25,93.04,93.54,38367334,96.3119880681,97.0102624507,92.8106408063,93.3094082225,38367334,0.0,1.0
50,2023-03-16T00:00:00.000Z,101.07,101.97,95.87,96.57,54588200,100.8208455105,101.7186268597,95.633664382,96.3319387647,54588200,0.0,1.0
51,2023-03-17T00:00:00.000Z,102.46,103.49,100.75,100.84,76140310,102.2074189275,103.2348798049,100.5016343641,100.591412499,76140310,0.0,1.0
52,2023-03-20T00:00:00.000Z,101.93,102.58,100.79,101.06,26033916,101.6787254664,102.3271231074,100.5415357574,100.8108701622,26033916,0.0,1.0
53,2023-03-21T00:00:00.000Z,105.84,105.96,101.86,101.98,33122800,105.579086661,105.6987908409,101.6088980281,101.728602208,33122800,0.0,1.0
54,2023-03-22T00:00:00.000Z,104.22,107.51,104.21,105.14,32336877,103.9630802325,107.2449698311,103.9531048842,104.8808122784,32336877,0.0,1.0
55,2023-03-23T00:00:00.000Z,106.26,107.1009,105.41,105.89,31385817,105.9980512906,106.8368783312,105.1501466831,105.6289634027,31385817,0.0,1.0
56,2023-03-24T00:00:00.000Z,106.06,106.16,104.74,105.74,25245010,105.7985443242,105.8982978074,104.4817983454,105.4793331778,25245010,0.0,1.0
57,2023-03-27T00:00:00.000Z,103.06,105.4,102.63,105.32,25393417,102.805939827,105.1401713348,102.376999849,105.0603685482,25393417,0.0,1.0
58,2023-03-28T00:00:00.000Z,101.36,103.0,100.28,103.0,24913480,101.1101306119,102.746087737,100.0327929929,102.746087737,24913480,0.0,1.0
59,2023-03-29T00:00:00.000Z,101.9,102.82,101.03,102.72,26148300,101.6487994214,102.5665314672,100.7809441172,102.4667779839,26148300,0.0,1.0
60,2023-03-30T00:00:00.000Z,101.32,101.61,100.29,101.44,25009829,101.0702292186,101.35951432,100.0427683412,101.1899333985,25009829,0.0,1.0
61,2023-03-31T00:00:00.000Z,104.0,104.19,101.44,101.71,28107953,103.7436225694,103.9331541876,101.1899333985,101.4592678032,28107953,0.0,1.0
62,2023-04-03T00:00:00.000Z,104.91,104.95,102.38,102.67,20719861,104.6513792669,104.6912806602,102.1276161409,102.4169012423,20719861,0.0,1.0
63,2023-04-04T00:00:00.000Z,105.12,106.1,104.6,104.84,20377231,104.8608615817,105.8384457175,104.3421434689,104.5815518286,20377231,0.0,1.0
64,2023-04-05T00:00:00.000Z,104.95,106.54,104.1021,106.12,21864200,104.6912806602,106.2773610437,103.8454708758,105.8583964141,21864200,0.0,1.0
65,2023-04-06T00:00:00.000Z,108.9,109.63,104.815,105.77,34684150,108.6315432482,109.3597436758,104.5566134578,105.5092592228,34684150,0.0,1.0
66,2023-04-10T00:00:00.000Z,106.95,107.97,105.6,107.39,19741517,106.686350325,107.703835854,105.3396783013,107.1252656512,19741517,0.0,1.0
67,2023-04-11T00:00:00.000Z,106.12,107.22,105.28,106.92,18721278,105.8583964141,106.9556847297,105.0204671549,106.65642428,18721278,0.0,1.0
68,2023-04-12T00:00:00.000Z,105.22,107.5874,104.97,107.39,22761569,104.9606150649,107.3221790272,104.7112313568,107.1252656512,22761569,0.0,1.0
69,2023-04-13T00:00:00.000Z,108.19,108.265,106.44,106.47,21650747,107.9232935172,107.9981086296,106.1776075605,106.2075336054,21650747,0.0,1.0
70,2023-04-14T00:00:00.000Z,109.46,109.58,107.59,107.69,20758686,109.1901627543,109.3098669342,107.3247726177,107.424526101,20758686,0.0,1.0
71,2023-04-17T00:00:00.000Z,106.42,106.71,105.32,105.43,28978949,106.1576568638,106.4469419652,105.0603685482,105.1700973797,28978949,0.0,1.0
72,2023-04-18T00:00:00.000Z,105.12,107.05,104.78,107.0,17641369,104.8608615817,106.7861038082,104.5216997387,106.7362270666,17641369,0.0,1.0
73,2023-04-19T00:00:00.000Z,105.02,105.725,103.8,104.215,16732016,104.7611080985,105.4643701553,103.5441156029,103.9580925584,16732016,0.0,1.0
74,2023-04-20T00:00:00.000Z,105.9,106.8875,104.64,104.65,22515331,105.638938751,106.624004398,104.3820448622,104.3920202105,22515331,0.0,1.0
75,2023-04-21T00:00:00.000Z,105.91,106.64,105.485,106.09,22379018,105.6489140993,106.3771145269,105.2249617955,105.8284703691,22379018,0.0,1.0
76,2023-04-24T00:00:00.000Z,106.78,107.32,105.36,106.05,21410908,106.5167694035,107.055438213,105.1002699415,105.7885689758,21410908,0.0,1.0
77,2023-04-25T00:00:00.000Z,104.61,107.44,104.56,106.61,31408119,104.3521188172,107.1751423929,104.3022420756,106.347188482,31408119,0.0,1.0
78,2023-04-26T00:00:00.000Z,104.45,107.02,103.27,105.56,36630202,104.192513244,106.7561777633,103.0154221418,105.299776908,36630202,0.0,1.0
79,2023-04-27T00:00:00.000Z,108.37,109.15,104.42,105.23,38235220,108.102849787,108.8809269563,104.162587199,104.9705904133,38235220,0.0,1.0
80,2023-04-28T00:00:00.000Z,108.22,108.29,106.04,107.8,23957872,107.9532195621,108.0230470004,105.7785936275,107.5342549325,23957872,0.0,1.0
81,2023-05-01T00:00:00.000Z,107.71,108.68,107.5,107.72,20926259,107.4444767976,108.412085585,107.2349944828,107.4544521459,20926259,0.0,1.0
82,2023-05-02T00:00:00.000Z,105.98,107.73,104.5,107.66,20343116,105.7187415376,107.4644274943,104.2423899856,107.394600056,20343116,0.0,1.0
83,2023-05-03T00:00:00.000Z,106.12,108.13,105.62,106.22,17116333,105.8583964141,107.8634414272,105.3596289979,105.9581498973,17116333,0.0,1.0
84,2023-05-04T00:00:00.000Z,105.21,106.3,104.7,106.16,19780637,104.9506397166,106.0379526839,104.4418969521,105.8982978074,19780637,0.0,1.0
85,2023-05-05T00:00:00.000Z,106.215,106.44,104.7386,105.32,20710627,105.9531622232,106.1776075605,104.4804017966,105.0603685482,20710627,0.0,1.0
86,2023-05-08T00:00:00.000Z,108.24,108.42,105.79,105.795,17266021,107.9731702588,108.1527265286,105.5292099194,105.5341975936,17266021,0.0,1.0
87,2023-05-09T00:00:00.000Z,107.94,110.595,107.725,108.78,24782442,107.6739098091,110.3223647891,107.4594398201,108.5118390683,24782442,0.0,1.0
88,2023-05-10T00:00:00.000Z,112.28,113.51,108.48,108.55,47533463,112.0032109817,113.2301788255,108.2125786186,108.2824060568,47533463,0.0,1.0
89,2023-05-11T00:00:00.000Z,116.9,118.44,114.9301,115.86,57115075,116.6118219074,118.1480255492,114.646778041,115.5743856817,57115075,0.0,1.0
90,2023-05-12T00:00:00.000Z,117.92,118.26,116.55,117.0,31293778,117.6293074364,117.9684692794,116.262684716,116.7115753906,31293778,0.0,1.0
91,2023-05-15T00:00:00.000Z,116.96,118.795,116.48,116.49,22107865,116.6716739973,118.5021504148,116.1928572777,116.2028326261,22107865,0.0,1.0
92,2023-05-16T00:00:00.000Z,120.09,121.2,116.83,116.83,32370113,119.7939580227,120.9012216867,116.5419944691,116.5419944691,32370113,0.0,1.0
93,2023-05-17T00:00:00.000Z,121.48,122.28,119.46,120.18,26659564,121.1805314397,121.9785593057,119.1655110783,119.8837361576,26659564,0.0,1.0
94,2023-05-18T00:00:00.000Z,123.52,123.9,121.49,121.56,27014468,123.2155024978,123.5945657341,121.1905067881,121.2603342263,27014468,0.0,1.0
95,2023-05-19T00:00:00.000Z,123.25,126.479,122.72,124.2,30268864,122.9461680931,126.1672080669,122.4174746319,123.8938261839,30268864,0.0,1.0
96,2023-05-22T00:00:00.000Z,125.87,127.05,123.45,123.51,29760236,125.559709354,126.7368004562,123.1456750596,123.2055271495,29760236,0.0,1.0
97,2023-05-23T00:00:00.000Z,123.29,125.42,123.05,124.93,24477945,122.9860694864,125.1108186794,122.7466611266,124.6220266115,24477945,0.0,1.0
98,2023-05-24T00:00:00.000Z,121.64,122.7499,120.75,121.88,23087925,121.3401370129,122.4473009234,120.4523310121,121.5795453727,23087925,0.0,1.0
99,2023-05-25T00:00:00.000Z,124.35,125.98,122.9,125.21,33812730,124.0434564087,125.6694381855,122.5970309017,124.9013363646,33812730,0.0,1.0
100,2023-05-26T00:00:00.000Z,125.43,126.0,123.29,124.065,25169036,125.1207940277,125.6893888822,122.9860694864,123.7591589815,25169036,0.0,1.0
101,2023-05-30T00:00:00.000Z,124.64,126.38,122.89,126.29,27230726,124.3327415101,126.0684521185,122.5870555534,125.9786739836,27230726,0.0,1.0
102,2023-05-31T00:00:00.000Z,123.37,124.9,123.1,123.7,41478777,123.065872273,124.5921005665,122.7965378682,123.3950587677,41478777,0.0,1.0
103,2023-06-01T00:00:00.000Z,124.37,125.04,123.3,123.5,25017674,124.0634071054,124.7317554431,122.9960448347,123.1955518012,25017674,0.0,1.0
104,2023-06-02T00:00:00.000Z,125.23,126.745,124.35,124.49,19367453,124.9212870612,126.4325523323,124.0434564087,124.1831112853,19367453,0.0,1.0
105,2023-06-05T00:00:00.000Z,126.63,127.99,124.38,124.61,22672516,126.3178358266,127.6744831987,124.0733824537,124.3028154651,22672516,0.0,1.0
106,2023-06-06T00:00:00.000Z,127.91,128.88,125.97,126.6,19450128,127.5946804121,128.5622891995,125.6594628372,126.2879097816,19450128,0.0,1.0
107,2023-06-07T00:00:00.000Z,122.94,129.55,122.63,127.575,34179348,122.636932295,129.2306375372,122.327696497,127.2605062432,34179348,0.0,1.0
108,2023-06-08T00:00:00.000Z,122.67,123.73,122.01,122.585,24814996,122.3675978903,123.4249848126,121.7092249009,122.2828074295,24814996,0.0,1.0
109,2023-06-09T00:00:00.000Z,122.87,124.285,122.42,122.56,20313676,122.5671048568,123.9786166446,122.1182141822,122.2578690587,20313676,0.0,1.0
110,2023-06-12T00:00:00.000Z,124.35,124.75,122.35,123.395,22289632,124.0434564087,124.4424703417,122.0483867439,123.0908106438,22289632,0.0,1.0
111,2023-06-13T00:00:00.000Z,124.43,125.86,123.845,125.65,19287650,124.1232591953,125.5497340056,123.5397013184,125.3402516908,19287650,0.0,1.0
112,2023-06-14T00:00:00.000Z,124.38,124.79,122.16,123.8,24659620,124.0733824537,124.482371735,121.8588551258,123.4948122509,24659620,0.0,1.0
113,2023-06-15T00:00:00.000Z,125.79,126.16,123.14,123.88,24517071,125.4799065674,125.8489944554,122.8364392615,123.5746150375,24517071,0.0,1.0
114,2023-06-16T00:00:00.000Z,124.06,126.7,123.79,126.7,56699200,123.7541713073,126.3876632649,123.4848369026,126.3876632649,56699200,0.0,1.0
115,2023-06-20T00:00:00.000Z,123.85,125.175,122.83,123.535,22698028,123.5446889925,124.8664226455,122.5272034635,123.2304655203,22698028,0.0,1.0
116,2023-06-21T00:00:00.000Z,121.26,123.41,120.86,123.235,22612002,120.9610737766,123.1057736663,120.5620598437,122.9312050706,22612002,0.0,1.0
117,2023-06-22T00:00:00.000Z,123.87,123.935,119.6,120.66,20781888,123.5646396892,123.6294794533,119.3051659548,120.3625528772,20781888,0.0,1.0
118,2023-06-23T00:00:00.000Z,123.02,123.44,121.86,122.04,29573123,122.7167350816,123.1356997112,121.5595946761,121.7391509459,29573123,0.0,1.0
119,2023-06-26T00:00:00.000Z,119.09,122.72,118.99,121.4656,23184961,118.7964231903,122.4174746319,118.6966697071,121.1661669382,23184961,0.0,1.0
120,2023-06-27T00:00:00.000Z,119.01,119.895,116.91,117.84,27221714,118.7166204037,119.5994387304,116.6217972557,117.5495046498,27221714,0.0,1.0
121,2023-06-28T00:00:00.000Z,121.08,121.27,117.6,117.96,19753145,120.7815175068,120.9710491249,117.31009629,117.6692088297,19753145,0.0,1.0
122,2023-06-29T00:00:00.000Z,120.01,120.91,119.21,120.09,18517458,119.7141552361,120.6119365853,118.9161273702,119.7939580227,18517458,0.0,1.0
123,2023-06-30T00:00:00.000Z,120.97,122.03,120.88,121.1,23871764,120.6717886752,121.7291755976,120.5820105403,120.8014682034,23871764,0.0,1.0
124,2023-07-03T00:00:00.000Z,120.56,121.02,119.705,120.32,13888262,120.2627993939,120.7216654168,119.4099071122,120.0233910342,13888262,0.0,1.0
125,2023-07-05T00:00:00.000Z,122.63,123.37,120.06,120.06,17830347,122.327696497,123.065872273,119.7640319777,119.7640319777,17830347,0.0,1.0
126,2023-07-06T00:00:00.000Z,120.93,121.1499,119.2499,120.64,17750181,120.6318872819,120.8512451916,118.95592901,120.3426021805,17750181,0.0,1.0
127,2023-07-07T00:00:00.000Z,120.14,121.75,120.09,120.89,20997665,119.8438347643,121.4498658445,119.7939580227,120.5919858886,20997665,0.0,1.0
128,2023-07-10T00:00:00.000Z,116.87,119.07,116.64,119.07,32960078,116.5818958624,118.7764724937,116.3524628509,118.7764724937,32960078,0.0,1.0
129,2023-07-11T00:00:00.000Z,117.71,118.225,115.83,116.76,18286571,117.4198251216,117.9335555603,115.5444596367,116.4721670308,18286571,0.0,1.0
130,2023-07-12T00:00:00.000Z,119.62,120.96,119.0,119.3,22059611,119.3251166515,120.6618133269,118.7066450554,119.0059055051,22059611,0.0,1.0
131,2023-07-13T00:00:00.000Z,124.83,125.335,121.06,121.54,31535853,124.5222731283,125.0260282186,120.7615668101,121.2403835297,31535853,0.0,1.0
132,2023-07-14T00:00:00.000Z,125.7,127.09,124.9,125.13,20499780,125.3901284325,126.7767018495,124.5921005665,124.821533578,20499780,0.0,1.0
133,2023-07-17T00:00:00.000Z,125.06,127.28,124.5,126.06,20675297,124.7517061397,126.9662334676,124.1930866336,125.7492409721,20675297,0.0,1.0
134,2023-07-18T00:00:00.000Z,124.08,124.99,123.3,124.905,21071248,123.774122004,124.6818787015,122.9960448347,124.5970882407,21071248,0.0,1.0
135,2023-07-19T00:00:00.000Z,122.78,125.47,122.47,124.79,22313803,122.4773267219,125.160695421,122.1680909238,124.482371735,22313803,0.0,1.0
136,2023-07-20T00:00:00.000Z,119.53,124.7,118.685,122.12,27541711,119.2353385166,124.3925936001,118.3924215832,121.8189537325,27541711,0.0,1.0
137,2023-07-21T00:00:00.000Z,120.31,121.3,119.07,120.87,56514645,120.0134156858,121.0009751699,118.7764724937,120.572035192,56514645,0.0,1.0
138,2023-07-24T00:00:00.000Z,121.88,123.35,121.38,121.926,22312220,121.5795453727,123.0459215763,121.0807779565,121.625431975,22312220,0.0,1.0
139,2023-07-25T00:00:00.000Z,122.79,123.69,121.53,121.88,31820846,122.4873020702,123.3850834193,121.2304081814,121.5795453727,31820846,0.0,1.0
140,2023-07-26T00:00:00.000Z,129.66,131.37,128.71,130.36,46216895,129.3403663688,131.0461509322,128.392708278,130.0386407514,46216895,0.0,1.0
141,2023-07-27T00:00:00.000Z,129.87,133.6,129.18,131.8,35931612,129.5498486836,133.2706536084,128.8615496492,131.4750909101,35931612,0.0,1.0
142,2023-07-28T00:00:00.000Z,133.01,134.07,130.92,130.97,26971011,132.6821080573,133.7394949796,130.5972602576,130.6471369992,26971011,0.0,1.0
143,2023-07-31T00:00:00.000Z,133.11,133.83,132.13,133.01,18381891,132.7818615405,133.5000866199,131.8042774048,132.6821080573,18381891,0.0,1.0
144,2023-08-01T00:00:00.000Z,131.89,132.92,130.75,130.855,22219012,131.564869045,132.5923299224,130.4276793361,130.5324204935,22219012,0.0,1.0
145,2023-08-02T00:00:00.000Z,128.64,130.42,127.85,129.84,22705778,128.3228808397,130.0984928414,127.5348283221,129.5199226386,22705778,0.0,1.0
146,2023-08-03T00:00:00.000Z,128.77,129.77,127.775,128.37,15086132,128.4525603679,129.4500952003,127.4600132097,128.053546435,15086132,0.0,1.0
147,2023-08-04T00:00:00.000Z,128.54,131.93,128.315,129.6,20521852,128.2231273565,131.6047704383,127.9986820192,129.2805142788,20521852,0.0,1.0
148,2023-08-07T00:00:00.000Z,131.94,132.06,129.43,129.51,17621041,131.6147457866,131.7344499665,129.1109333573,129.1907361439,17621041,0.0,1.0
149,2023-08-08T00:00:00.000Z,131.84,131.94,130.13,130.98,16835952,131.5149923034,131.6147457866,129.80920774,130.6571123475,16835952,0.0,1.0
150,2023-08-09T00:00:00.000Z,130.15,132.47,129.505,132.19,17745218,129.8291584366,132.1434392478,129.1857484697,131.8641294947,17745218,0.0,1.0
